delta,data,n_T,n_B,pT,pB,lift,log_lift_eps
1,data1,1,1,1.0,0.0,,13.815511557963774
1,data11,8,5,0.125,0.2,0.625,-0.4700006292652355
1,data12,5,3,0.2,0.3333333333333333,0.6000000000000001,-0.5108236237739905
1,data14,3,5,0.6666666666666666,0.2,3.333333333333333,1.2039693043373108
1,data15,3,3,0.6666666666666666,0.3333333333333333,2.0,0.6931456805633204
1,data16,6,1,0.5,1.0,0.5,-0.6931461805614453
1,data2,3,2,0.3333333333333333,0.5,0.6666666666666666,-0.4054641081106645
1,data21,3,1,0.3333333333333333,0.0,,12.716901269291665
1,data22,5,1,0.4,0.0,,12.899222326086994
1,data24,8,3,0.0,0.0,,0.0
1,data25,2,1,0.5,0.0,,13.122365377402328
1,data3,5,1,0.6,0.0,,13.304686600863562
1,data30,5,4,0.2,0.5,0.4,-0.916287731884655
1,data34,5,2,0.4,1.0,0.4,-0.91628923187678
1,data36,11,2,0.2727272727272727,1.0,0.2727272727272727,-1.2992803174698164
1,data37,4,1,0.5,1.0,0.5,-0.6931461805614453
1,data38,5,2,0.2,0.0,,12.206077645517674
1,data39,4,2,0.25,0.0,,12.429220196836383
1,data4,4,3,0.5,0.0,,13.122365377402328
1,data40,3,1,0.3333333333333333,0.0,,12.716901269291665
2,data1,1,1,1.0,0.0,,13.815511557963774
2,data11,8,5,0.125,0.4,0.3125,-1.1631453098345557
2,data12,5,3,0.8,0.3333333333333333,2.4000000000000004,0.875466987357619
2,data14,3,5,0.6666666666666666,0.6,1.1111111111111112,0.10536034899142356
2,data15,3,3,0.6666666666666666,0.6666666666666666,1.0,0.0
2,data16,6,1,0.6666666666666666,1.0,0.6666666666666666,-0.4054646081087893
2,data2,3,2,0.6666666666666666,1.0,0.6666666666666666,-0.4054646081087893
2,data21,3,1,0.6666666666666666,0.0,,13.410046949854985
2,data22,5,1,0.6,0.0,,13.304686600863562
2,data24,8,3,0.0,0.0,,0.0
2,data25,2,1,0.5,0.0,,13.122365377402328
2,data3,5,1,0.6,1.0,0.6,-0.5108249571002128
2,data30,5,4,0.6,0.5,1.2,0.1823212234612324
2,data34,5,2,0.8,1.0,0.8,-0.2231433013144909
2,data36,11,2,0.36363636363636365,1.0,0.36363636363636365,-1.011599161681761
2,data37,4,1,0.75,1.0,0.75,-0.2876817391188363
2,data38,5,2,0.2,0.0,,12.206077645517674
2,data39,4,2,0.5,0.0,,13.122365377402328
2,data4,4,3,0.75,0.0,,13.527829818844937
2,data40,3,1,0.3333333333333333,1.0,0.3333333333333333,-1.0986102886721096
3,data1,1,1,1.0,0.0,,13.815511557963774
3,data11,8,5,0.125,0.6,0.20833333333333334,-1.568609584611123
3,data12,5,3,0.8,0.6666666666666666,1.2000000000000002,0.18232130679429845
3,data14,3,5,0.6666666666666666,0.8,0.8333333333333333,-0.18232130679429848
3,data15,3,3,0.6666666666666666,0.6666666666666666,1.0,0.0
3,data16,6,1,0.8333333333333334,1.0,0.8333333333333334,-0.18232135679417452
3,data2,3,2,1.0,1.0,1.0,0.0
3,data21,3,1,1.0,0.0,,13.815511557963774
3,data22,5,1,0.6,1.0,0.6,-0.5108249571002128
3,data24,8,3,0.0,0.0,,0.0
3,data25,2,1,0.5,0.0,,13.122365377402328
3,data3,5,1,0.8,1.0,0.8,-0.2231433013144909
3,data30,5,4,0.8,0.5,1.6,0.4700028792469544
3,data34,5,2,1.0,1.0,1.0,0.0
3,data36,11,2,0.5454545454545454,1.0,0.5454545454545454,-0.6061349702381627
3,data37,4,1,1.0,1.0,1.0,0.0
3,data38,5,2,0.2,0.0,,12.206077645517674
3,data39,4,2,0.75,0.0,,13.527829818844937
3,data4,4,3,0.75,0.0,,13.527829818844937
3,data40,3,1,0.6666666666666666,1.0,0.6666666666666666,-0.4054646081087893
4,data1,1,1,1.0,0.0,,13.815511557963774
4,data11,8,5,0.25,0.6,0.4166666666666667,-0.8754664040271778
4,data12,5,3,0.8,0.6666666666666666,1.2000000000000002,0.18232130679429845
4,data14,3,5,0.6666666666666666,1.0,0.6666666666666666,-0.4054646081087893
4,data15,3,3,0.6666666666666666,1.0,0.6666666666666666,-0.4054646081087893
4,data16,6,1,0.8333333333333334,1.0,0.8333333333333334,-0.18232135679417452
4,data2,3,2,1.0,1.0,1.0,0.0
4,data21,3,1,1.0,0.0,,13.815511557963774
4,data22,5,1,0.8,1.0,0.8,-0.2231433013144909
4,data24,8,3,0.0,0.0,,0.0
4,data25,2,1,0.5,0.0,,13.122365377402328
4,data3,5,1,1.0,1.0,1.0,0.0
4,data30,5,4,0.8,0.75,1.0666666666666667,0.06453843780434548
4,data34,5,2,1.0,1.0,1.0,0.0
4,data36,11,2,0.6363636363636364,1.0,0.6363636363636364,-0.4519845523152204
4,data37,4,1,1.0,1.0,1.0,0.0
4,data38,5,2,0.2,0.0,,12.206077645517674
4,data39,4,2,1.0,0.0,,13.815511557963774
4,data4,4,3,0.75,0.0,,13.527829818844937
4,data40,3,1,1.0,1.0,1.0,0.0
5,data1,1,1,1.0,1.0,1.0,0.0
5,data11,8,5,0.25,0.8,0.3125,-1.1631480598128998
5,data12,5,3,1.0,0.6666666666666666,1.5,0.40546460810878937
5,data14,3,5,0.6666666666666666,1.0,0.6666666666666666,-0.4054646081087893
5,data15,3,3,1.0,1.0,1.0,0.0
5,data16,6,1,0.8333333333333334,1.0,0.8333333333333334,-0.18232135679417452
5,data2,3,2,1.0,1.0,1.0,0.0
5,data21,3,1,1.0,0.0,,13.815511557963774
5,data22,5,1,1.0,1.0,1.0,0.0
5,data24,8,3,0.0,0.0,,0.0
5,data25,2,1,0.5,0.0,,13.122365377402328
5,data3,5,1,1.0,1.0,1.0,0.0
5,data30,5,4,0.8,1.0,0.8,-0.2231433013144909
5,data34,5,2,1.0,1.0,1.0,0.0
5,data36,11,2,0.6363636363636364,1.0,0.6363636363636364,-0.4519845523152204
5,data37,4,1,1.0,1.0,1.0,0.0
5,data38,5,2,0.2,0.0,,12.206077645517674
5,data39,4,2,1.0,0.5,2.0,0.6931461805614452
5,data4,4,3,0.75,0.0,,13.527829818844937
5,data40,3,1,1.0,1.0,1.0,0.0
6,data1,1,1,1.0,1.0,1.0,0.0
6,data11,8,5,0.375,0.8,0.46875,-0.7576842850336243
6,data12,5,3,1.0,1.0,1.0,0.0
6,data14,3,5,0.6666666666666666,1.0,0.6666666666666666,-0.4054646081087893
6,data15,3,3,1.0,1.0,1.0,0.0
6,data16,6,1,0.8333333333333334,1.0,0.8333333333333334,-0.18232135679417452
6,data2,3,2,1.0,1.0,1.0,0.0
6,data21,3,1,1.0,0.0,,13.815511557963774
6,data22,5,1,1.0,1.0,1.0,0.0
6,data24,8,3,0.0,0.0,,0.0
6,data25,2,1,0.5,0.0,,13.122365377402328
6,data3,5,1,1.0,1.0,1.0,0.0
6,data30,5,4,1.0,1.0,1.0,0.0
6,data34,5,2,1.0,1.0,1.0,0.0
6,data36,11,2,0.6363636363636364,1.0,0.6363636363636364,-0.4519845523152204
6,data37,4,1,1.0,1.0,1.0,0.0
6,data38,5,2,0.2,0.0,,12.206077645517674
6,data39,4,2,1.0,1.0,1.0,0.0
6,data4,4,3,0.75,0.0,,13.527829818844937
6,data40,3,1,1.0,1.0,1.0,0.0
7,data1,1,1,1.0,1.0,1.0,0.0
7,data11,8,5,0.5,0.8,0.625,-0.47000287924695433
7,data12,5,3,1.0,1.0,1.0,0.0
7,data14,3,5,0.6666666666666666,1.0,0.6666666666666666,-0.4054646081087893
7,data15,3,3,1.0,1.0,1.0,0.0
7,data16,6,1,0.8333333333333334,1.0,0.8333333333333334,-0.18232135679417452
7,data2,3,2,1.0,1.0,1.0,0.0
7,data21,3,1,1.0,0.0,,13.815511557963774
7,data22,5,1,1.0,1.0,1.0,0.0
7,data24,8,3,0.0,0.0,,0.0
7,data25,2,1,0.5,0.0,,13.122365377402328
7,data3,5,1,1.0,1.0,1.0,0.0
7,data30,5,4,1.0,1.0,1.0,0.0
7,data34,5,2,1.0,1.0,1.0,0.0
7,data36,11,2,0.7272727272727273,1.0,0.7272727272727273,-0.3184533561189798
7,data37,4,1,1.0,1.0,1.0,0.0
7,data38,5,2,0.2,0.0,,12.206077645517674
7,data39,4,2,1.0,1.0,1.0,0.0
7,data4,4,3,0.75,0.0,,13.527829818844937
7,data40,3,1,1.0,1.0,1.0,0.0
8,data1,1,1,1.0,1.0,1.0,0.0
8,data11,8,5,0.625,0.8,0.78125,-0.24685972793202463
8,data12,5,3,1.0,1.0,1.0,0.0
8,data14,3,5,0.6666666666666666,1.0,0.6666666666666666,-0.4054646081087893
8,data15,3,3,1.0,1.0,1.0,0.0
8,data16,6,1,0.8333333333333334,1.0,0.8333333333333334,-0.18232135679417452
8,data2,3,2,1.0,1.0,1.0,0.0
8,data21,3,1,1.0,0.0,,13.815511557963774
8,data22,5,1,1.0,1.0,1.0,0.0
8,data24,8,3,0.0,0.0,,0.0
8,data25,2,1,0.5,0.0,,13.122365377402328
8,data3,5,1,1.0,1.0,1.0,0.0
8,data30,5,4,1.0,1.0,1.0,0.0
8,data34,5,2,1.0,1.0,1.0,0.0
8,data36,11,2,0.8181818181818182,1.0,0.8181818181818182,-0.20067047324017567
8,data37,4,1,1.0,1.0,1.0,0.0
8,data38,5,2,0.2,0.0,,12.206077645517674
8,data39,4,2,1.0,1.0,1.0,0.0
8,data4,4,3,0.75,0.0,,13.527829818844937
8,data40,3,1,1.0,1.0,1.0,0.0
9,data1,1,1,1.0,1.0,1.0,0.0
9,data11,8,5,0.75,0.8,0.9375,-0.0645384378043455
9,data12,5,3,1.0,1.0,1.0,0.0
9,data14,3,5,0.6666666666666666,1.0,0.6666666666666666,-0.4054646081087893
9,data15,3,3,1.0,1.0,1.0,0.0
9,data16,6,1,0.8333333333333334,1.0,0.8333333333333334,-0.18232135679417452
9,data2,3,2,1.0,1.0,1.0,0.0
9,data21,3,1,1.0,0.0,,13.815511557963774
9,data22,5,1,1.0,1.0,1.0,0.0
9,data24,8,3,0.0,0.0,,0.0
9,data25,2,1,0.5,0.0,,13.122365377402328
9,data3,5,1,1.0,1.0,1.0,0.0
9,data30,5,4,1.0,1.0,1.0,0.0
9,data34,5,2,1.0,1.0,1.0,0.0
9,data36,11,2,0.9090909090909091,1.0,0.9090909090909091,-0.09531007980442978
9,data37,4,1,1.0,1.0,1.0,0.0
9,data38,5,2,0.2,0.0,,12.206077645517674
9,data39,4,2,1.0,1.0,1.0,0.0
9,data4,4,3,0.75,0.0,,13.527829818844937
9,data40,3,1,1.0,1.0,1.0,0.0
10,data1,1,1,1.0,1.0,1.0,0.0
10,data11,8,5,0.875,0.8,1.09375,0.0896120515469581
10,data12,5,3,1.0,1.0,1.0,0.0
10,data14,3,5,0.6666666666666666,1.0,0.6666666666666666,-0.4054646081087893
10,data15,3,3,1.0,1.0,1.0,0.0
10,data16,6,1,0.8333333333333334,1.0,0.8333333333333334,-0.18232135679417452
10,data2,3,2,1.0,1.0,1.0,0.0
10,data21,3,1,1.0,0.0,,13.815511557963774
10,data22,5,1,1.0,1.0,1.0,0.0
10,data24,8,3,0.0,0.0,,0.0
10,data25,2,1,0.5,0.0,,13.122365377402328
10,data3,5,1,1.0,1.0,1.0,0.0
10,data30,5,4,1.0,1.0,1.0,0.0
10,data34,5,2,1.0,1.0,1.0,0.0
10,data36,11,2,1.0,1.0,1.0,0.0
10,data37,4,1,1.0,1.0,1.0,0.0
10,data38,5,2,0.2,0.0,,12.206077645517674
10,data39,4,2,1.0,1.0,1.0,0.0
10,data4,4,3,0.75,0.0,,13.527829818844937
10,data40,3,1,1.0,1.0,1.0,0.0
11,data1,1,1,1.0,1.0,1.0,0.0
11,data11,8,5,0.875,1.0,0.875,-0.1335312497675327
11,data12,5,3,1.0,1.0,1.0,0.0
11,data14,3,5,0.6666666666666666,1.0,0.6666666666666666,-0.4054646081087893
11,data15,3,3,1.0,1.0,1.0,0.0
11,data16,6,1,0.8333333333333334,1.0,0.8333333333333334,-0.18232135679417452
11,data2,3,2,1.0,1.0,1.0,0.0
11,data21,3,1,1.0,0.0,,13.815511557963774
11,data22,5,1,1.0,1.0,1.0,0.0
11,data24,8,3,0.0,0.0,,0.0
11,data25,2,1,0.5,0.0,,13.122365377402328
11,data3,5,1,1.0,1.0,1.0,0.0
11,data30,5,4,1.0,1.0,1.0,0.0
11,data34,5,2,1.0,1.0,1.0,0.0
11,data36,11,2,1.0,1.0,1.0,0.0
11,data37,4,1,1.0,1.0,1.0,0.0
11,data38,5,2,0.2,0.0,,12.206077645517674
11,data39,4,2,1.0,1.0,1.0,0.0
11,data4,4,3,0.75,0.0,,13.527829818844937
11,data40,3,1,1.0,1.0,1.0,0.0
12,data1,1,1,1.0,1.0,1.0,0.0
12,data11,8,5,1.0,1.0,1.0,0.0
12,data12,5,3,1.0,1.0,1.0,0.0
12,data14,3,5,0.6666666666666666,1.0,0.6666666666666666,-0.4054646081087893
12,data15,3,3,1.0,1.0,1.0,0.0
12,data16,6,1,0.8333333333333334,1.0,0.8333333333333334,-0.18232135679417452
12,data2,3,2,1.0,1.0,1.0,0.0
12,data21,3,1,1.0,0.0,,13.815511557963774
12,data22,5,1,1.0,1.0,1.0,0.0
12,data24,8,3,0.0,0.0,,0.0
12,data25,2,1,0.5,0.0,,13.122365377402328
12,data3,5,1,1.0,1.0,1.0,0.0
12,data30,5,4,1.0,1.0,1.0,0.0
12,data34,5,2,1.0,1.0,1.0,0.0
12,data36,11,2,1.0,1.0,1.0,0.0
12,data37,4,1,1.0,1.0,1.0,0.0
12,data38,5,2,0.2,0.0,,12.206077645517674
12,data39,4,2,1.0,1.0,1.0,0.0
12,data4,4,3,0.75,0.0,,13.527829818844937
12,data40,3,1,1.0,1.0,1.0,0.0
